repo,project,package,version
akka.net,SerializationBenchmarks,BenchmarkDotNet,0.13.11
akka.net,Akka.Benchmarks,BenchmarkDotNet,0.15.4
akka.net,Akka.Benchmarks,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Benchmarks,BenchmarkDotNet,0.15.4
akka.net,Akka.Cluster.Cpu.Benchmark,NDesk.Options.Core,1.2.8
akka.net,Akka.Cluster.Cpu.Benchmark,Tmds.ExecFunction,0.7.1
akka.net,Akka.Cluster.Cpu.Benchmark,Universe.CpuUsage,2.2.497.598
akka.net,Akka.DependencyInjection.Tests,Microsoft.Extensions.Hosting,"[6.0.*,)"
akka.net,Akka.DependencyInjection.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.DependencyInjection.Tests,xunit,2.8.1
akka.net,Akka.DependencyInjection.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.DependencyInjection.Tests,FluentAssertions,5.10.3
akka.net,Akka.DependencyInjection,Microsoft.Extensions.DependencyInjection.Abstractions,"[6.0.*,)"
akka.net,Akka.TestKit.Xunit.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.TestKit.Xunit.Tests,xunit.v3,2.0.1
akka.net,Akka.TestKit.Xunit.Tests,xunit.runner.visualstudio,3.0.2
akka.net,Akka.TestKit.Xunit.Tests,coverlet.collector,3.1.2
akka.net,Akka.TestKit.Xunit2,xunit,2.8.1
akka.net,Akka.TestKit.Xunit2.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.TestKit.Xunit2.Tests,xunit,2.8.1
akka.net,Akka.TestKit.Xunit2.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.TestKit.Xunit,xunit.v3.extensibility.core,2.0.1
akka.net,Akka.TestKit.Xunit,xunit.v3.assert,2.0.1
akka.net,Akka.Cluster.Tools.Tests.MultiNode,Akka.Management,1.5.50
akka.net,Akka.Cluster.Tools.Tests.MultiNode,Akka.MultiNode.TestAdapter,1.5.40
akka.net,Akka.Cluster.Tools.Tests.MultiNode,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Tools.Tests.MultiNode,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Tools.Tests.MultiNode,xunit,2.8.1
akka.net,Akka.Cluster.Tools.Tests.MultiNode,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Cluster.Sharding.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Sharding.Tests,xunit,2.8.1
akka.net,Akka.Cluster.Sharding.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Cluster.Sharding.Tests,FluentAssertions,5.10.3
akka.net,Akka.DistributedData.LightningDB,LightningDB,0.16.0
akka.net,Akka.Cluster.Metrics,System.Diagnostics.Process,4.3.0
akka.net,Akka.Cluster.Metrics,Grpc.Tools,2.60.0
akka.net,Akka.DistributedData.Tests.MultiNode,Akka.MultiNode.TestAdapter,1.5.40
akka.net,Akka.DistributedData.Tests.MultiNode,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.DistributedData.Tests.MultiNode,FluentAssertions,5.10.3
akka.net,Akka.DistributedData.Tests.MultiNode,xunit,2.8.1
akka.net,Akka.DistributedData.Tests.MultiNode,xunit.runner.visualstudio,2.8.1
akka.net,Akka.DistributedData,Grpc.Tools,2.60.0
akka.net,Akka.Cluster.Metrics.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Metrics.Tests,xunit,2.8.1
akka.net,Akka.Cluster.Metrics.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Cluster.Metrics.Tests,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Tools.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Tools.Tests,xunit,2.8.1
akka.net,Akka.Cluster.Tools.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Cluster.Tools.Tests,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Sharding.Tests.MultiNode,Akka.MultiNode.TestAdapter,1.5.40
akka.net,Akka.Cluster.Sharding.Tests.MultiNode,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Sharding.Tests.MultiNode,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Sharding.Tests.MultiNode,xunit,2.8.1
akka.net,Akka.Cluster.Sharding.Tests.MultiNode,xunit.runner.visualstudio,2.8.1
akka.net,Akka.DistributedData.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.DistributedData.Tests,xunit,2.8.1
akka.net,Akka.DistributedData.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.DistributedData.Tests,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Metrics.Tests.MultiNode,Akka.MultiNode.TestAdapter,1.5.40
akka.net,Akka.Cluster.Metrics.Tests.MultiNode,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Metrics.Tests.MultiNode,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Metrics.Tests.MultiNode,xunit,2.8.1
akka.net,Akka.Cluster.Metrics.Tests.MultiNode,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Cluster.Tools,Grpc.Tools,2.60.0
akka.net,Akka.Persistence.Query.InMemory.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Persistence.Query.InMemory.Tests,xunit,2.8.1
akka.net,Akka.Persistence.Query.InMemory.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Persistence.Query.InMemory.Tests,FluentAssertions,5.10.3
akka.net,Akka.Serialization.Hyperion,Hyperion,0.12.2
akka.net,Akka.Serialization.Hyperion,System.Reflection,4.3.0
akka.net,Akka.Serialization.Hyperion,System.Runtime,4.3.1
akka.net,Akka.Serialization.Hyperion.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Serialization.Hyperion.Tests,xunit,2.8.1
akka.net,Akka.Serialization.Hyperion.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Serialization.Hyperion.Tests,FluentAssertions,5.10.3
akka.net,Akka.AspNetCore,Swashbuckle.AspNetCore,6.5.0
akka.net,Akka.Persistence.Custom,Microsoft.Data.SQLite,8.0.4
akka.net,Akka.Persistence.Custom.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Persistence.Custom.Tests,xunit,2.8.1
akka.net,Akka.Persistence.Custom.Tests,xunit.runner.visualstudio,2.8.1
akka.net,ClusterSharding.Node,Akka.Bootstrap.Docker,0.5.3
akka.net,ClusterSharding.Node,Akka.Persistence.Sql,1.5.44
akka.net,ClusterSharding.Node,Microsoft.Data.Sqlite,8.0.14
akka.net,ClusterSharding.Node,Microsoft.Data.Sqlite.Core,8.0.14
akka.net,ShoppingCart,Akka.Bootstrap.Docker,0.5.3
akka.net,AkkaWindowsService,Microsoft.Extensions.Hosting.WindowsServices,"[6.0.*,)"
akka.net,AkkaWindowsService,Microsoft.Extensions.Http,"[6.0.*,)"
akka.net,AkkaHeadlesssService,Microsoft.Extensions.Hosting,"[6.0.*,)"
akka.net,Akka.Persistence.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Persistence.Tests,xunit,2.8.1
akka.net,Akka.Persistence.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Persistence.Tests,FluentAssertions,5.10.3
akka.net,Akka.Tests.Performance,NBench,2.0.1
akka.net,Akka.Docs.Tests,FluentAssertions,5.10.3
akka.net,Akka.Docs.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Docs.Tests,xunit,2.8.1
akka.net,Akka.Docs.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Remote.Tests.MultiNode,Akka.MultiNode.TestAdapter,1.5.40
akka.net,Akka.Remote.Tests.MultiNode,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Remote.Tests.MultiNode,FluentAssertions,5.10.3
akka.net,Akka.Remote.Tests.MultiNode,xunit,2.8.1
akka.net,Akka.Remote.Tests.MultiNode,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Remote.TestKit,Google.Protobuf,3.26.1
akka.net,Akka.Remote.TestKit,Grpc.Tools,2.60.0
akka.net,Akka.Remote.TestKit,System.Collections.Specialized,4.3.0
akka.net,Akka.Cluster.Tests.MultiNode,Akka.MultiNode.TestAdapter,1.5.40
akka.net,Akka.Cluster.Tests.MultiNode,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Tests.MultiNode,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Tests.MultiNode,xunit,2.8.1
akka.net,Akka.Cluster.Tests.MultiNode,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Streams.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Streams.Tests,xunit,2.8.1
akka.net,Akka.Streams.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Streams.Tests,FluentAssertions,5.10.3
akka.net,Akka.Streams.Tests,System.Net.Sockets,4.3.0
akka.net,Akka.Streams.Tests,System.Runtime.Extensions,4.3.1
akka.net,Akka.Streams.TestKit,Polyfill,1.28.0
akka.net,Akka.Remote.Tests.Performance,NBench,2.0.1
akka.net,Akka.Cluster,Grpc.Tools,2.60.0
akka.net,Akka.TestKit.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.TestKit.Tests,xunit,2.8.1
akka.net,Akka.TestKit.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.TestKit.Tests,FluentAssertions,5.10.3
akka.net,Akka.Streams.Tests.TCK,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Streams.Tests.TCK,NUnit3TestAdapter,4.5.0
akka.net,Akka.Streams.Tests.TCK,Reactive.Streams.TCK,1.0.4
akka.net,Akka.Streams.Tests.TCK,NUnit,3.7.1
akka.net,Akka.Discovery.Tests,FluentAssertions,5.10.3
akka.net,Akka.Discovery.Tests,FluentDateTime,3.0.0
akka.net,Akka.Discovery.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Discovery.Tests,xunit,2.8.1
akka.net,Akka.Discovery.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Coordination.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Coordination.Tests,xunit,2.8.1
akka.net,Akka.Coordination.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Coordination.Tests,FluentAssertions,5.10.3
akka.net,Akka.Coordination.Tests,FsCheck.Xunit,2.16.6
akka.net,Akka.Persistence.Query.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Persistence.Query.Tests,xunit,2.8.1
akka.net,Akka.Persistence.Query.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Persistence.Query.Tests,FluentAssertions,5.10.3
akka.net,Akka.Persistence.TCK.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Persistence.TCK.Tests,xunit,2.8.1
akka.net,Akka.Persistence.TCK.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Persistence.TCK.Tests,FluentAssertions,5.10.3
akka.net,Akka.API.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.API.Tests,xunit,2.8.1
akka.net,Akka.API.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.API.Tests,PublicApiGenerator,11.5.0
akka.net,Akka.API.Tests,Verify.Xunit,25.0.2
akka.net,Akka.API.Tests,Verify.DiffPlex,3.0.0
akka.net,Akka.Persistence.TestKit.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Persistence.TestKit.Tests,xunit,2.8.1
akka.net,Akka.Persistence.TestKit.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Persistence.TestKit.Tests,TeamCity.ServiceMessages,3.0.13
akka.net,Akka.Persistence.TestKit.Tests,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Tests.Performance,NBench,2.0.1
akka.net,Akka.Remote.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Remote.Tests,xunit,2.8.1
akka.net,Akka.Remote.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Remote.Tests,FluentAssertions,5.10.3
akka.net,Akka.Remote.Tests,FsCheck,2.16.6
akka.net,Akka.Remote.Tests,FsCheck.Xunit,2.16.6
akka.net,Akka.Persistence.TCK,FluentAssertions,5.10.3
akka.net,Akka.Persistence.TCK,MathNet.Numerics,5.0.0
akka.net,Akka.Persistence,Google.Protobuf,3.26.1
akka.net,Akka.Persistence,Grpc.Tools,2.60.0
akka.net,Akka.Streams,System.Reflection.TypeExtensions,4.7.0
akka.net,Akka.Streams,Microsoft.Bcl.AsyncInterfaces,"[6.0.*,)"
akka.net,Akka.Streams,Google.Protobuf,3.26.1
akka.net,Akka.Streams,Reactive.Streams,1.0.4
akka.net,Akka.Streams,Grpc.Tools,2.60.0
akka.net,Akka.Remote,DotNetty.Handlers,0.7.6
akka.net,Akka.Remote,Google.Protobuf,3.26.1
akka.net,Akka.Remote,Grpc.Tools,2.60.0
akka.net,Akka.Streams.TestKit.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Streams.TestKit.Tests,xunit,2.8.1
akka.net,Akka.Streams.TestKit.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Streams.TestKit.Tests,FluentAssertions,5.10.3
akka.net,Akka.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Tests,xunit,2.8.1
akka.net,Akka.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Tests,FluentAssertions,5.10.3
akka.net,Akka.Tests,FsCheck.Xunit,2.16.6
akka.net,Akka.Tests,Xunit.SkippableFact,1.4.13
akka.net,Akka.Tests,System.Linq.Async,6.0.1
akka.net,Akka.Cluster.Tests,Microsoft.NET.Test.Sdk,17.9.0
akka.net,Akka.Cluster.Tests,xunit,2.8.1
akka.net,Akka.Cluster.Tests,xunit.runner.visualstudio,2.8.1
akka.net,Akka.Cluster.Tests,FsCheck.Xunit,2.16.6
akka.net,Akka.Cluster.Tests,FluentAssertions,5.10.3
akka.net,Akka.Cluster.Tests,Fsharp.Core,6.0.5
akka.net,Akka.TestKit,Microsoft.Bcl.AsyncInterfaces,"[6.0.*,)"
akka.net,Akka.TestKit,Nito.AsyncEx.Coordination,5.1.2
akka.net,Akka.TestKit,Nito.AsyncEx.Context,5.1.2
akka.net,Akka.TestKit,System.Linq.Async,6.0.1
akka.net,Akka,Microsoft.Extensions.ObjectPool,"[6.0.*,)"
akka.net,Akka,Newtonsoft.Json,"[13.0.1,)"
akka.net,Akka,System.Collections.Immutable,"[6.0.*,)"
akka.net,Akka,System.Configuration.ConfigurationManager,6.0.1
akka.net,Akka,Polyfill,1.28.0
