repo,project,references,referencePath,crossRepo
akka.net,SerializationBenchmarks,Akka.Serialization.Hyperion,src/contrib/serializers/Akka.Serialization.Hyperion/Akka.Serialization.Hyperion.csproj,False
akka.net,SerializationBenchmarks,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.Benchmarks,Akka.DistributedData,src/contrib/cluster/Akka.DistributedData/Akka.DistributedData.csproj,False
akka.net,Akka.Benchmarks,Akka.Serialization.Hyperion,src/contrib/serializers/Akka.Serialization.Hyperion/Akka.Serialization.Hyperion.csproj,False
akka.net,Akka.Benchmarks,Akka.Cluster,src/core/Akka.Cluster/Akka.Cluster.csproj,False
akka.net,Akka.Benchmarks,Akka.Persistence,src/core/Akka.Persistence/Akka.Persistence.csproj,False
akka.net,Akka.Benchmarks,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,Akka.Benchmarks,Akka.Streams,src/core/Akka.Streams/Akka.Streams.csproj,False
akka.net,Akka.Benchmarks,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.Cluster.Benchmarks,Akka.Cluster.Sharding,src/contrib/cluster/Akka.Cluster.Sharding/Akka.Cluster.Sharding.csproj,False
akka.net,RemotePingPong,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,Akka.Cluster.Cpu.Benchmark,Akka.Cluster,src/core/Akka.Cluster/Akka.Cluster.csproj,False
akka.net,PingPong,Akka,src/core/Akka/Akka.csproj,False
akka.net,SpawnBenchmark,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.DependencyInjection.Tests,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.DependencyInjection.Tests,Akka.DependencyInjection,src/contrib/dependencyinjection/Akka.DependencyInjection/Akka.DependencyInjection.csproj,False
akka.net,Akka.DependencyInjection,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.TestKit.Xunit.Tests,Akka.TestKit.Xunit,src/contrib/testkits/Akka.TestKit.Xunit/Akka.TestKit.Xunit.csproj,False
akka.net,Akka.TestKit.Xunit2,Akka.TestKit,src/core/Akka.TestKit/Akka.TestKit.csproj,False
akka.net,Akka.TestKit.Xunit2.Tests,Akka.TestKit.Xunit2,src/contrib/testkits/Akka.TestKit.Xunit2/Akka.TestKit.Xunit2.csproj,False
akka.net,Akka.TestKit.Xunit,Akka.TestKit,src/core/Akka.TestKit/Akka.TestKit.csproj,False
akka.net,Akka.Cluster.Tools.Tests.MultiNode,Akka.Coordination.Tests,src/core/Akka.Coordination.Tests/Akka.Coordination.Tests.csproj,False
akka.net,Akka.Cluster.Tools.Tests.MultiNode,Akka.Cluster.Tools,src/contrib/cluster/Akka.Cluster.Tools/Akka.Cluster.Tools.csproj,False
akka.net,Akka.Cluster.Tools.Tests.MultiNode,Akka.Cluster.TestKit,src/core/Akka.Cluster.TestKit/Akka.Cluster.TestKit.csproj,False
akka.net,Akka.Cluster.Tools.Tests.MultiNode,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.Cluster.Sharding.Tests,Akka.Coordination.Tests,src/core/Akka.Coordination.Tests/Akka.Coordination.Tests.csproj,False
akka.net,Akka.Cluster.Sharding.Tests,Akka.Cluster.Sharding,src/contrib/cluster/Akka.Cluster.Sharding/Akka.Cluster.Sharding.csproj,False
akka.net,Akka.Cluster.Sharding.Tests,Akka.Persistence,src/core/Akka.Persistence/Akka.Persistence.csproj,False
akka.net,Akka.Cluster.Sharding.Tests,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.DistributedData.LightningDB,Akka.DistributedData,src/contrib/cluster/Akka.DistributedData/Akka.DistributedData.csproj,False
akka.net,Akka.Cluster.Metrics,Akka.Cluster,src/core/Akka.Cluster/Akka.Cluster.csproj,False
akka.net,Akka.DistributedData.Tests.MultiNode,Akka.DistributedData.LightningDB,src/contrib/cluster/Akka.DistributedData.LightningDB/Akka.DistributedData.LightningDB.csproj,False
akka.net,Akka.DistributedData.Tests.MultiNode,Akka.DistributedData,src/contrib/cluster/Akka.DistributedData/Akka.DistributedData.csproj,False
akka.net,Akka.DistributedData.Tests.MultiNode,Akka.Cluster.TestKit,src/core/Akka.Cluster.TestKit/Akka.Cluster.TestKit.csproj,False
akka.net,Akka.DistributedData.Tests.MultiNode,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.DistributedData,Akka.Cluster,src/core/Akka.Cluster/Akka.Cluster.csproj,False
akka.net,Akka.Cluster.Metrics.Tests,Akka.Cluster.Metrics,src/contrib/cluster/Akka.Cluster.Metrics/Akka.Cluster.Metrics.csproj,False
akka.net,Akka.Cluster.Metrics.Tests,Akka.Cluster.Tests,src/core/Akka.Cluster.Tests/Akka.Cluster.Tests.csproj,False
akka.net,Akka.Cluster.Tools.Tests,Akka.Coordination.Tests,src/core/Akka.Coordination.Tests/Akka.Coordination.Tests.csproj,False
akka.net,Akka.Cluster.Tools.Tests,Akka.Cluster.Tools,src/contrib/cluster/Akka.Cluster.Tools/Akka.Cluster.Tools.csproj,False
akka.net,Akka.Cluster.Tools.Tests,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.Cluster.Sharding.Tests.MultiNode,Akka.Serialization.Hyperion,src/contrib/serializers/Akka.Serialization.Hyperion/Akka.Serialization.Hyperion.csproj,False
