repo,project,references,referencePath,crossRepo
src,WebApp,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,WebApp,EventBusRabbitMQ,EventBusRabbitMQ/EventBusRabbitMQ.csproj,False
src,WebApp,WebAppComponents,WebAppComponents/WebAppComponents.csproj,False
src,Identity.API,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,Catalog.API,EventBusRabbitMQ,EventBusRabbitMQ/EventBusRabbitMQ.csproj,False
src,Catalog.API,IntegrationEventLogEF,IntegrationEventLogEF/IntegrationEventLogEF.csproj,False
src,Catalog.API,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,eShop.AppHost,Basket.API,Basket.API/Basket.API.csproj,False
src,eShop.AppHost,Catalog.API,Catalog.API/Catalog.API.csproj,False
src,eShop.AppHost,Identity.API,Identity.API/Identity.API.csproj,False
src,eShop.AppHost,Ordering.API,Ordering.API/Ordering.API.csproj,False
src,eShop.AppHost,OrderProcessor,OrderProcessor/OrderProcessor.csproj,False
src,eShop.AppHost,PaymentProcessor,PaymentProcessor/PaymentProcessor.csproj,False
src,eShop.AppHost,Webhooks.API,Webhooks.API/Webhooks.API.csproj,False
src,eShop.AppHost,WebApp,WebApp/WebApp.csproj,False
src,eShop.AppHost,WebhookClient,WebhookClient/WebhookClient.csproj,False
src,Ordering.Infrastructure,IntegrationEventLogEF,IntegrationEventLogEF/IntegrationEventLogEF.csproj,False
src,Ordering.Infrastructure,Ordering.Domain,Ordering.Domain/Ordering.Domain.csproj,False
src,PaymentProcessor,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,PaymentProcessor,EventBusRabbitMQ,EventBusRabbitMQ/EventBusRabbitMQ.csproj,False
src,OrderProcessor,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,OrderProcessor,EventBusRabbitMQ,EventBusRabbitMQ/EventBusRabbitMQ.csproj,False
src,HybridApp,WebAppComponents,WebAppComponents/WebAppComponents.csproj,False
src,Basket.API,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,Basket.API,EventBusRabbitMQ,EventBusRabbitMQ/EventBusRabbitMQ.csproj,False
src,IntegrationEventLogEF,EventBus,EventBus/EventBus.csproj,False
src,Ordering.API,EventBusRabbitMQ,EventBusRabbitMQ/EventBusRabbitMQ.csproj,False
src,Ordering.API,IntegrationEventLogEF,IntegrationEventLogEF/IntegrationEventLogEF.csproj,False
src,Ordering.API,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,Ordering.API,Ordering.Domain,Ordering.Domain/Ordering.Domain.csproj,False
src,Ordering.API,Ordering.Infrastructure,Ordering.Infrastructure/Ordering.Infrastructure.csproj,False
src,EventBusRabbitMQ,EventBus,EventBus/EventBus.csproj,False
src,Webhooks.API,EventBusRabbitMQ,EventBusRabbitMQ/EventBusRabbitMQ.csproj,False
src,Webhooks.API,IntegrationEventLogEF,IntegrationEventLogEF/IntegrationEventLogEF.csproj,False
src,Webhooks.API,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
src,WebhookClient,eShop.ServiceDefaults,eShop.ServiceDefaults/eShop.ServiceDefaults.csproj,False
tests,Ordering.UnitTests,Ordering.API,../src/Ordering.API/Ordering.API.csproj,True
tests,Ordering.UnitTests,Ordering.Domain,../src/Ordering.Domain/Ordering.Domain.csproj,True
tests,Ordering.UnitTests,Ordering.Infrastructure,../src/Ordering.Infrastructure/Ordering.Infrastructure.csproj,True
tests,Ordering.FunctionalTests,Ordering.API,../src/Ordering.API/Ordering.API.csproj,True
tests,Ordering.FunctionalTests,Identity.API,../src/Identity.API/Identity.API.csproj,True
tests,Ordering.FunctionalTests,Ordering.Domain,../src/Ordering.Domain/Ordering.Domain.csproj,True
tests,Ordering.FunctionalTests,Ordering.Infrastructure,../src/Ordering.Infrastructure/Ordering.Infrastructure.csproj,True
tests,Catalog.FunctionalTests,Catalog.API,../src/Catalog.API/Catalog.API.csproj,True
tests,Basket.UnitTests,Basket.API,../src/Basket.API/Basket.API.csproj,True
tests,ClientApp.UnitTests,ClientApp,../src/ClientApp/ClientApp.csproj,True
