repo,project,package,version
src,KurrentDB.Core.Tests,Microsoft.OpenApi.Readers,
src,KurrentDB.Core.Tests,System.Linq.Async,
src,KurrentDB.Core.Tests,IgnoresAccessChecksToGenerator,
src,KurrentDB.OtlpExporterPlugin,OpenTelemetry.Exporter.OpenTelemetryProtocol,
src,KurrentDB.OtlpExporterPlugin,OpenTelemetry.Extensions.Hosting,
src,KurrentDB.OtlpExporterPlugin,Serilog,
src,KurrentDB.OtlpExporterPlugin,Serilog.Sinks.OpenTelemetry,
src,KurrentDB.Core.Testing,EventStore.Client,
src,KurrentDB.Core.Testing,FluentAssertions,
src,KurrentDB.Core.Testing,Microsoft.AspNetCore.TestHost,
src,KurrentDB.Core.Testing,Serilog.Sinks.InMemory,
src,KurrentDB.Core.Testing,Serilog.AspNetCore,
src,KurrentDB.Core.Testing,IgnoresAccessChecksToGenerator,
src,KurrentDB.Plugins.Tests,FluentAssertions,
src,KurrentDB.Plugins.Tests,FluentAssertions.Analyzers,
src,KurrentDB.Plugins.Tests,Microsoft.Extensions.Diagnostics.Testing,
src,KurrentDB.Diagnostics.LogsEndpointPlugin,Serilog,
src,KurrentDB.SystemRuntime,Serilog,
src,KurrentDB.SystemRuntime,System.Diagnostics.PerformanceCounter,
src,KurrentDB.Auth.UserCertificates.Tests,FluentAssertions,
src,KurrentDB.Security.EncryptionAtRest,Scrutor,
src,KurrentDB.Security.EncryptionAtRest,Serilog,
src,KurrentDB.Auth.Ldaps.Tests,Ductus.FluentDocker.XUnit,
src,KurrentDB.Auth.Ldaps.Tests,EventStore.Client.Grpc.Streams,
src,KurrentDB.Auth.Ldaps.Tests,Microsoft.AspNetCore.TestHost,
src,KurrentDB.Api.V2.Tests,Grpc.Net.Client,
src,KurrentDB.Api.V2.Tests,Grpc.StatusProto,
src,KurrentDB.Api.V2.Tests,Microsoft.Extensions.Diagnostics.Testing,
src,KurrentDB.Api.V2.Tests,System.Linq.Async,
src,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled.Tests,Ductus.FluentDocker.XUnit,
src,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled.Tests,EventStore.Client.Grpc.Streams,
src,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled.Tests,Microsoft.AspNetCore.TestHost,
src,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled.Tests,Polly,
src,KurrentDB.Projections.Core.Tests,Newtonsoft.Json,
src,KurrentDB.Projections.Core.Tests,Serilog.Sinks.TextWriter,
src,KurrentDB.Projections.Core.Tests,Google.Protobuf,
src,KurrentDB.Projections.Core.Tests,Grpc.Tools,
src,KurrentDB.Auth.StreamPolicyPlugin,System.ComponentModel.Composition,
src,KurrentDB.Native,Mono.Posix.NETStandard,
src,KurrentDB.Api.V2,FluentValidation.DependencyInjectionExtensions,
src,KurrentDB.Api.V2,Google.Protobuf,
src,KurrentDB.Api.V2,Grpc.AspNetCore,
src,KurrentDB.Api.V2,Grpc.AspNetCore.Web,
src,KurrentDB.Api.V2,Grpc.Tools,
src,KurrentDB.Api.V2,Grpc.StatusProto,
src,KurrentDB.Api.V2,Humanizer.Core,
src,KurrentDB.Api.V2,Microsoft.AspNetCore.Grpc.JsonTranscoding,
src,KurrentDB.Api.V2,Scrutor,
src,KurrentDB.Api.V2,System.Linq.Async,
src,KurrentDB.Surge.Testing,Bogus,
src,KurrentDB.Surge.Testing,DotNext,
src,KurrentDB.Surge.Testing,FluentAssertions,
src,KurrentDB.Surge.Testing,Humanizer.Core,
src,KurrentDB.Surge.Testing,Eventuous.Testing,
src,KurrentDB.Surge.Testing,Kurrent.Surge,
src,KurrentDB.Surge.Testing,Microsoft.Extensions.TimeProvider.Testing,
src,KurrentDB.Surge.Testing,Microsoft.Extensions.Configuration.EnvironmentVariables,
src,KurrentDB.Surge.Testing,Microsoft.Extensions.Hosting.Abstractions,
src,KurrentDB.Surge.Testing,Microsoft.AspNetCore.TestHost,
src,KurrentDB.Surge.Testing,Serilog,
src,KurrentDB.Surge.Testing,Serilog.Enrichers.Thread,
src,KurrentDB.Surge.Testing,Serilog.Enrichers.Environment,
src,KurrentDB.Surge.Testing,Serilog.Enrichers.Process,
src,KurrentDB.Surge.Testing,Serilog.Exceptions,
src,KurrentDB.Surge.Testing,Serilog.Expressions,
src,KurrentDB.Surge.Testing,Serilog.Extensions.Logging,
src,KurrentDB.Surge.Testing,Serilog.Settings.Configuration,
src,KurrentDB.Surge.Testing,Serilog.Sinks.Console,
src,KurrentDB.Surge.Testing,Serilog.Sinks.Observable,
src,KurrentDB.Surge.Testing,Serilog.Sinks.Seq,
src,KurrentDB.Surge.Testing,Serilog.Sinks.File,
src,KurrentDB.Surge.Testing,System.Reactive,
src,KurrentDB.Auth.OAuth,IdentityModel,
src,KurrentDB.Auth.OAuth,LruCacheNet,
src,KurrentDB.Auth.OAuth,Newtonsoft.Json,
src,KurrentDB.Auth.OAuth,System.ComponentModel.Composition,
src,KurrentDB.Auth.OAuth,System.IdentityModel.Tokens.Jwt,
src,KurrentDB.Auth.OAuth,Serilog,
src,KurrentDB.LogV3,Google.Protobuf,
src,KurrentDB.LogV3,Grpc.Tools,
src,KurrentDB.Security.EncryptionAtRest.Tests,FluentAssertions,
src,KurrentDB.Surge,Kurrent.Surge.Core,
src,KurrentDB.Surge,Eventuous.Application,
src,KurrentDB.Surge,Eventuous.Extensions.AspNetCore,
src,KurrentDB.Surge,Eventuous.Extensions.DependencyInjection,
src,KurrentDB.Surge,System.Linq.Async,
src,KurrentDB.Surge.Testing.Messages,Google.Protobuf,
src,KurrentDB.Surge.Testing.Messages,Grpc.Tools,
src,KurrentDB.NETCore.Compatibility,System.ServiceModel.Http,
src,KurrentDB.NETCore.Compatibility,System.Security.Cryptography.Pkcs,
src,KurrentDB.NETCore.Compatibility,System.Security.Cryptography.Xml,
src,KurrentDB.Projections.Core,Grpc.Tools,
src,KurrentDB.Projections.Core,Newtonsoft.Json,
src,KurrentDB.Projections.Core,Jint,
src,KurrentDB.POC.ConnectedSubsystemsPlugin,System.Linq.Async,
src,KurrentDB.Licensing,RestSharp,
src,KurrentDB.Licensing,Serilog,
src,KurrentDB.MicroBenchmarks,BenchmarkDotNet,
src,KurrentDB.Core.Testing.XUnit,xunit.v3.extensibility.core,
src,KurrentDB.AutoScavenge,NCrontab,
src,KurrentDB.Common,GitInfo,
src,KurrentDB.Common,NetEscapades.Configuration.Yaml,
src,KurrentDB.Common,Newtonsoft.Json,
src,KurrentDB.Common,OpenTelemetry,
src,KurrentDB.Common,Grpc.Net.Common,
src,KurrentDB.Common,Serilog,
src,KurrentDB.Common,Serilog.Enrichers.Process,
src,KurrentDB.Common,Serilog.Enrichers.Thread,
src,KurrentDB.Common,Serilog.Expressions,
src,KurrentDB.Common,Serilog.Extensions.Logging,
src,KurrentDB.Common,Serilog.Settings.Configuration,
src,KurrentDB.Common,Serilog.Sinks.Async,
src,KurrentDB.Common,Serilog.Sinks.File,
src,KurrentDB.Common,Serilog.Sinks.Seq,
src,KurrentDB.Common,Serilog.Sinks.Console,
src,KurrentDB.Common,System.Security.Cryptography.Pkcs,
src,KurrentDB.Common,YamlDotnet,
src,KurrentDB.AutoScavenge.Tests,Bogus,
src,KurrentDB.AutoScavenge.Tests,Microsoft.AspNetCore.Mvc.Testing,
src,KurrentDB.AutoScavenge.Tests,System.Linq.Async,
src,KurrentDB.Ammeter,RestSharp,
src,KurrentDB.Ammeter,Testcontainers,
src,KurrentDB.Ammeter,Microsoft.Extensions.Configuration,
src,KurrentDB.SchemaRegistry,FluentValidation.DependencyInjectionExtensions,
src,KurrentDB.SchemaRegistry,Grpc.AspNetCore,
src,KurrentDB.SchemaRegistry,Kurrent.Quack,
src,KurrentDB.SchemaRegistry,Kurrent.Surge.DuckDB,
src,KurrentDB.SchemaRegistry,Kurrent.Surge.Core,
src,KurrentDB.SchemaRegistry,NJsonSchema,
src,KurrentDB.SchemaRegistry.Tests,Kurrent.Surge,
src,KurrentDB.SchemaRegistry.Tests,Kurrent.Surge.DuckDB,
src,KurrentDB.SchemaRegistry.Tests,Shouldly,
src,KurrentDB.SchemaRegistry.Protocol,Google.Protobuf,
src,KurrentDB.SchemaRegistry.Protocol,Grpc.Net.ClientFactory,
src,KurrentDB.SchemaRegistry.Protocol,Grpc.StatusProto,
