repo,project,references,referencePath,crossRepo
src,KurrentDB.Core.Tests,KurrentDB.Core.Testing.NUnit,KurrentDB.Core.Testing.NUnit/KurrentDB.Core.Testing.NUnit.csproj,False
src,KurrentDB.OtlpExporterPlugin,KurrentDB.Logging,KurrentDB.Logging/KurrentDB.Logging.csproj,False
src,KurrentDB.Core.Testing,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Core.Testing,KurrentDB.PluginHosting,KurrentDB.PluginHosting/KurrentDB.PluginHosting.csproj,False
src,KurrentDB.Plugins.Api.V2,KurrentDB.Api.V2,KurrentDB.Api.V2/KurrentDB.Api.V2.csproj,False
src,KurrentDB.Plugins.Tests,KurrentDB.Plugins,KurrentDB.Plugins/KurrentDB.Plugins.csproj,False
src,KurrentDB.Licensing.Tests,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Licensing.Tests,KurrentDB.Licensing,KurrentDB.Licensing/KurrentDB.Licensing.csproj,False
src,KurrentDB.Auth.UserCertificates.Tests,KurrentDB.Auth.UserCertificates,KurrentDB.Auth.UserCertificates/KurrentDB.Auth.UserCertificates.csproj,False
src,KurrentDB.Auth.UserCertificates.Tests,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.Auth.Ldaps.Tests,KurrentDB.Auth.Ldaps,KurrentDB.Auth.Ldaps/KurrentDB.Auth.Ldaps.csproj,False
src,KurrentDB.Api.V2.Tests,KurrentDB.Testing.ClusterVNodeApp,KurrentDB.Testing.ClusterVNodeApp/KurrentDB.Testing.ClusterVNodeApp.csproj,False
src,KurrentDB.Api.V2.Tests,KurrentDB.Testing,KurrentDB.Testing/KurrentDB.Testing.csproj,False
src,KurrentDB.Api.V2.Tests,KurrentDB.Api.V2,KurrentDB.Api.V2/KurrentDB.Api.V2.csproj,False
src,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled.Tests,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled/KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled.csproj,False
src,KurrentDB.Projections.Core.Tests,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.Projections.Core.Tests,KurrentDB.Core.Testing.NUnit,KurrentDB.Core.Testing.NUnit/KurrentDB.Core.Testing.NUnit.csproj,False
src,KurrentDB.Projections.Core.Tests,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Projections.Core.Tests,KurrentDB.Projections.Core,KurrentDB.Projections.Core/KurrentDB.Projections.Core.csproj,False
src,KurrentDB.Auth.StreamPolicyPlugin,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Native,KurrentDB.SystemRuntime,KurrentDB.SystemRuntime/KurrentDB.SystemRuntime.csproj,False
src,KurrentDB.Api.V2,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Api.V2,KurrentDB.SecondaryIndexing,KurrentDB.SecondaryIndexing/KurrentDB.SecondaryIndexing.csproj,False
src,KurrentDB.Surge.Testing,KurrentDB,KurrentDB/KurrentDB.csproj,False
src,KurrentDB.Common.Tests,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.LogV3,KurrentDB.LogCommon,KurrentDB.LogCommon/KurrentDB.LogCommon.csproj,False
src,KurrentDB.Security.EncryptionAtRest.Tests,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.Security.EncryptionAtRest.Tests,KurrentDB.Security.EncryptionAtRest,KurrentDB.Security.EncryptionAtRest/KurrentDB.Security.EncryptionAtRest.csproj,False
src,KurrentDB.Core.Testing.NUnit,KurrentDB.Core.Testing,KurrentDB.Core.Testing/KurrentDB.Core.Testing.csproj,False
src,KurrentDB.Projections.Core.XUnit.Tests,KurrentDB.Core.Testing,KurrentDB.Core.Testing/KurrentDB.Core.Testing.csproj,False
src,KurrentDB.Projections.Core.XUnit.Tests,KurrentDB.Projections.Core,KurrentDB.Projections.Core/KurrentDB.Projections.Core.csproj,False
src,KurrentDB.Surge,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Auth.StreamPolicyPlugin.Tests,KurrentDB.Core.Testing,KurrentDB.Core.Testing/KurrentDB.Core.Testing.csproj,False
src,KurrentDB.Auth.StreamPolicyPlugin.Tests,KurrentDB.Auth.StreamPolicyPlugin,KurrentDB.Auth.StreamPolicyPlugin/KurrentDB.Auth.StreamPolicyPlugin.csproj,False
src,KurrentDB.Transport.Http,KurrentDB.BufferManagement,KurrentDB.BufferManagement/KurrentDB.BufferManagement.csproj,False
src,KurrentDB.Transport.Http,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.Projections.Core,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.Projections.Core,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Projections.Core,KurrentDB.Transport.Http,KurrentDB.Transport.Http/KurrentDB.Transport.Http.csproj,False
src,KurrentDB.Projections.Core,KurrentDB.SourceGenerators,KurrentDB.SourceGenerators/KurrentDB.SourceGenerators.csproj,False
src,KurrentDB.POC.ConnectedSubsystemsPlugin,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.POC.ConnectedSubsystemsPlugin,KurrentDB.PluginHosting,KurrentDB.PluginHosting/KurrentDB.PluginHosting.csproj,False
src,KurrentDB.POC.ConnectedSubsystemsPlugin,KurrentDB.POC.IO.Core,KurrentDB.POC.IO.Core/KurrentDB.POC.IO.Core.csproj,False
src,KurrentDB.MicroBenchmarks,KurrentDB.Projections.Core.Tests,KurrentDB.Projections.Core.Tests/KurrentDB.Projections.Core.Tests.csproj,False
src,KurrentDB.MicroBenchmarks,KurrentDB.Projections.Core,KurrentDB.Projections.Core/KurrentDB.Projections.Core.csproj,False
src,KurrentDB.Core.Testing.XUnit,KurrentDB.Core.Testing,KurrentDB.Core.Testing/KurrentDB.Core.Testing.csproj,False
src,KurrentDB.AutoScavenge,KurrentDB.POC.ConnectedSubsystemsPlugin,KurrentDB.POC.ConnectedSubsystemsPlugin/KurrentDB.POC.ConnectedSubsystemsPlugin.csproj,False
src,KurrentDB.AutoScavenge,KurrentDB.POC.IO.Core,KurrentDB.POC.IO.Core/KurrentDB.POC.IO.Core.csproj,False
src,KurrentDB.Common,KurrentDB.SystemRuntime,KurrentDB.SystemRuntime/KurrentDB.SystemRuntime.csproj,False
src,KurrentDB.SystemRuntime.Tests,KurrentDB.SystemRuntime,KurrentDB.SystemRuntime/KurrentDB.SystemRuntime.csproj,False
src,KurrentDB.SystemRuntime.Tests,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.AutoScavenge.Tests,KurrentDB.AutoScavenge,KurrentDB.AutoScavenge/KurrentDB.AutoScavenge.csproj,False
src,KurrentDB.Ammeter,KurrentDB.Api.V2.Tests,KurrentDB.Api.V2.Tests/KurrentDB.Api.V2.Tests.csproj,False
src,KurrentDB.Ammeter,KurrentDB.Core.TUnit.Tests,KurrentDB.Core.TUnit.Tests/KurrentDB.Core.TUnit.Tests.csproj,False
src,KurrentDB.Projections.Core.Javascript.Tests,KurrentDB.Projections.Core,KurrentDB.Projections.Core/KurrentDB.Projections.Core.csproj,False
src,KurrentDB.SchemaRegistry,KurrentDB.Surge,KurrentDB.Surge/KurrentDB.Surge.csproj,False
src,KurrentDB.SchemaRegistry,KurrentDB.SchemaRegistry.Protocol,SchemaRegistry/KurrentDB.SchemaRegistry.Protocol/KurrentDB.SchemaRegistry.Protocol.csproj,False
src,KurrentDB.SchemaRegistry.Tests,KurrentDB.Surge.Testing.Messages,KurrentDB.Surge.Testing.Messages/KurrentDB.Surge.Testing.Messages.csproj,False
src,KurrentDB.SchemaRegistry.Tests,KurrentDB.Testing.ClusterVNodeApp,KurrentDB.Testing.ClusterVNodeApp/KurrentDB.Testing.ClusterVNodeApp.csproj,False
src,KurrentDB.SchemaRegistry.Tests,KurrentDB.Testing,KurrentDB.Testing/KurrentDB.Testing.csproj,False
src,KurrentDB.SchemaRegistry.Tests,KurrentDB,KurrentDB/KurrentDB.csproj,False
src,KurrentDB.SchemaRegistry.Tests,KurrentDB.SchemaRegistry,SchemaRegistry/KurrentDB.SchemaRegistry/KurrentDB.SchemaRegistry.csproj,False
src,KurrentDB.Plugins.SchemaRegistry,KurrentDB.SchemaRegistry,SchemaRegistry/KurrentDB.SchemaRegistry/KurrentDB.SchemaRegistry.csproj,False
src,KurrentDB.SecondaryIndexing.LoadTesting,KurrentDB.Connectors.TestServer,Connectors/KurrentDB.Connectors.TestServer/KurrentDB.Connectors.TestServer.csproj,False
src,KurrentDB.SecondaryIndexing.LoadTesting,KurrentDB.SecondaryIndexing.Tests,KurrentDB.SecondaryIndexing.Tests/KurrentDB.SecondaryIndexing.Tests.csproj,False
src,KurrentDB.SecondaryIndexing.LoadTesting,KurrentDB.SecondaryIndexing,KurrentDB.SecondaryIndexing/KurrentDB.SecondaryIndexing.csproj,False
src,KurrentDB.Logging,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.Plugins.TestHelpers,KurrentDB.Plugins,KurrentDB.Plugins/KurrentDB.Plugins.csproj,False
src,KurrentDB.BufferManagement.Tests,KurrentDB.BufferManagement,KurrentDB.BufferManagement/KurrentDB.BufferManagement.csproj,False
src,KurrentDB.Diagnostics.LogsEndpointPlugin.Tests,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.Diagnostics.LogsEndpointPlugin.Tests,KurrentDB.Diagnostics.LogsEndpointPlugin,KurrentDB.Diagnostics.LogsEndpointPlugin/KurrentDB.Diagnostics.LogsEndpointPlugin.csproj,False
src,KurrentDB.LogV3.Tests,KurrentDB.LogV3,KurrentDB.LogV3/KurrentDB.LogV3.csproj,False
src,KurrentDB.Transport.Tcp,KurrentDB.BufferManagement,KurrentDB.BufferManagement/KurrentDB.BufferManagement.csproj,False
src,KurrentDB.Transport.Tcp,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.SourceGenerators.Tests,KurrentDB.SourceGenerators,KurrentDB.SourceGenerators/KurrentDB.SourceGenerators.csproj,False
src,KurrentDB.TestClient,KurrentDB.BufferManagement,KurrentDB.BufferManagement/KurrentDB.BufferManagement.csproj,False
src,KurrentDB.TestClient,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB.TestClient,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.TestClient,KurrentDB.Transport.Http,KurrentDB.Transport.Http/KurrentDB.Transport.Http.csproj,False
src,KurrentDB.TestClient,KurrentDB.Transport.Tcp,KurrentDB.Transport.Tcp/KurrentDB.Transport.Tcp.csproj,False
src,KurrentDB.Core.XUnit.Tests,KurrentDB.Core.Testing.XUnit,KurrentDB.Core.Testing.XUnit/KurrentDB.Core.Testing.XUnit.csproj,False
src,KurrentDB.Core.XUnit.Tests,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB.Core.XUnit.Tests,KurrentDB.SourceGenerators,KurrentDB.SourceGenerators/KurrentDB.SourceGenerators.csproj,False
src,KurrentDB.Auth.OAuth.Tests,KurrentDB.Auth.OAuth,KurrentDB.Auth.OAuth/KurrentDB.Auth.OAuth.csproj,False
src,KurrentDB.SecondaryIndexing,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
