repo,project,package,version
Lean,QuantConnect.Api,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Api,NodaTime,3.0.5
Lean,QuantConnect.Api,RestSharp,106.12.0
Lean,QuantConnect.Configuration,McMaster.Extensions.CommandLineUtils,2.6.0
Lean,QuantConnect.Configuration,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Compression,DotNetZip,1.16.0
Lean,QuantConnect.Compression,SharpZipLib,1.3.3
Lean,QuantConnect.Optimizer.Launcher,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Messaging,NetMQ,4.0.1.6
Lean,QuantConnect.Messaging,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Research,Plotly.NET,5.1.0
Lean,QuantConnect.Research,Plotly.NET.CSharp,0.13.0
Lean,QuantConnect.Research,Plotly.NET.Interactive,5.0.0
Lean,QuantConnect.Research,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Research,NodaTime,3.0.5
Lean,QuantConnect.Brokerages,CsvHelper,19.0.0
Lean,QuantConnect.Brokerages,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Brokerages,RestSharp,106.12.0
Lean,QuantConnect.Algorithm.CSharp,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Algorithm.CSharp,Accord,3.6.0
Lean,QuantConnect.Algorithm.CSharp,Accord.Fuzzy,3.6.0
Lean,QuantConnect.Algorithm.CSharp,Accord.MachineLearning,3.6.0
Lean,QuantConnect.Algorithm.CSharp,Accord.Math,3.6.0
Lean,QuantConnect.Algorithm.CSharp,Accord.Statistics,3.6.0
Lean,QuantConnect.Algorithm.CSharp,DynamicInterop,0.9.1
Lean,QuantConnect.Algorithm.CSharp,MathNet.Numerics,5.0.0
Lean,QuantConnect.Algorithm.CSharp,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Algorithm.CSharp,NodaTime,3.0.5
Lean,QuantConnect.Algorithm.Framework,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Algorithm.Framework,Accord,3.6.0
Lean,QuantConnect.Algorithm.Framework,Accord.Math,3.6.0
Lean,QuantConnect.Algorithm.Framework,Accord.Statistics,3.6.0
Lean,QuantConnect.Algorithm.Framework,MathNet.Numerics,5.0.0
Lean,QuantConnect.Algorithm.Framework,NodaTime,3.0.5
Lean,QuantConnect.Lean.Engine,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Lean.Engine,fasterflect,3.0.0
Lean,QuantConnect.Lean.Engine,MathNet.Numerics,5.0.0
Lean,QuantConnect.Lean.Engine,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Lean.Engine,NodaTime,3.0.5
Lean,QuantConnect.Queues,Newtonsoft.Json,13.0.2
Lean,QuantConnect.AlgorithmFactory,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.AlgorithmFactory,NodaTime,3.0.5
Lean,QuantConnect,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect,CloneExtensions,1.3.0
Lean,QuantConnect,fasterflect,3.0.0
Lean,QuantConnect,MathNet.Numerics,5.0.0
Lean,QuantConnect,Microsoft.IO.RecyclableMemoryStream,3.0.1
Lean,QuantConnect,Newtonsoft.Json,13.0.2
Lean,QuantConnect,NodaTime,3.0.5
Lean,QuantConnect,protobuf-net,3.1.33
Lean,QuantConnect,QLNet,1.13.1
Lean,QuantConnect.Tests,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Tests,Accord,3.6.0
Lean,QuantConnect.Tests,Accord.Math,3.6.0
Lean,QuantConnect.Tests,Common.Logging,3.4.1
Lean,QuantConnect.Tests,Common.Logging.Core,3.4.1
Lean,QuantConnect.Tests,Deedle,2.1.0
Lean,QuantConnect.Tests,Microsoft.NET.Test.Sdk,16.9.4
Lean,QuantConnect.Tests,Microsoft.TestPlatform.ObjectModel,16.9.4
Lean,QuantConnect.Tests,Moq,4.16.1
Lean,QuantConnect.Tests,NetMQ,4.0.1.6
Lean,QuantConnect.Tests,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Tests,NodaTime,3.0.5
Lean,QuantConnect.Tests,NUnit,4.2.2
Lean,QuantConnect.Tests,NUnit3TestAdapter,4.6.0
Lean,QuantConnect.Tests,protobuf-net,3.1.33
Lean,QuantConnect.Indicators,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Indicators,MathNet.Numerics,5.0.0
Lean,QuantConnect.Optimizer,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Algorithm.Python,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Lean.Launcher,DynamicInterop,0.9.1
Lean,QuantConnect.Logging,System.ComponentModel.Composition,6.0.0
Lean,QuantConnect.Report,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Report,Deedle,2.1.0
Lean,QuantConnect.Report,MathNet.Numerics,5.0.0
Lean,QuantConnect.Report,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Report,NodaTime,3.0.5
Lean,QuantConnect.Algorithm,QuantConnect.pythonnet,2.0.52
Lean,QuantConnect.Algorithm,MathNet.Numerics,5.0.0
Lean,QuantConnect.Algorithm,Newtonsoft.Json,13.0.2
Lean,QuantConnect.Algorithm,NodaTime,3.0.5
