repo,project,references,referencePath,crossRepo
Lean,QuantConnect.Api,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Api,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Api,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Configuration,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Compression,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Optimizer.Launcher,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Optimizer.Launcher,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Optimizer.Launcher,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Optimizer.Launcher,QuantConnect.Optimizer,Optimizer/QuantConnect.Optimizer.csproj,False
Lean,QuantConnect.Messaging,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Messaging,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Messaging,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Research,QuantConnect.Algorithm.Framework,Algorithm.Framework/QuantConnect.Algorithm.Framework.csproj,False
Lean,QuantConnect.Research,QuantConnect.Algorithm,Algorithm/QuantConnect.Algorithm.csproj,False
Lean,QuantConnect.Research,QuantConnect.Api,Api/QuantConnect.Api.csproj,False
Lean,QuantConnect.Research,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Research,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Research,QuantConnect.Lean.Engine,Engine/QuantConnect.Lean.Engine.csproj,False
Lean,QuantConnect.Research,QuantConnect.Indicators,Indicators/QuantConnect.Indicators.csproj,False
Lean,QuantConnect.Research,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Research,QuantConnect.Queues,Queues/QuantConnect.Queues.csproj,False
Lean,QuantConnect.Brokerages,QuantConnect.Api,Api/QuantConnect.Api.csproj,False
Lean,QuantConnect.Brokerages,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Brokerages,QuantConnect.Compression,Compression/QuantConnect.Compression.csproj,False
Lean,QuantConnect.Brokerages,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Brokerages,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.DownloaderDataProvider.Launcher,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.DownloaderDataProvider.Launcher,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.DownloaderDataProvider.Launcher,QuantConnect.Lean.Engine,Engine/QuantConnect.Lean.Engine.csproj,False
Lean,QuantConnect.DownloaderDataProvider.Launcher,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Algorithm.CSharp,QuantConnect.Algorithm.Framework,Algorithm.Framework/QuantConnect.Algorithm.Framework.csproj,False
Lean,QuantConnect.Algorithm.CSharp,QuantConnect.Algorithm,Algorithm/QuantConnect.Algorithm.csproj,False
Lean,QuantConnect.Algorithm.CSharp,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Algorithm.CSharp,QuantConnect.Indicators,Indicators/QuantConnect.Indicators.csproj,False
Lean,QuantConnect.Algorithm.Framework,QuantConnect.Algorithm,Algorithm/QuantConnect.Algorithm.csproj,False
Lean,QuantConnect.Algorithm.Framework,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Algorithm.Framework,QuantConnect.Indicators,Indicators/QuantConnect.Indicators.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Algorithm.CSharp,Algorithm.CSharp/QuantConnect.Algorithm.CSharp.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.AlgorithmFactory,AlgorithmFactory/QuantConnect.AlgorithmFactory.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Algorithm,Algorithm/QuantConnect.Algorithm.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Api,Api/QuantConnect.Api.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Brokerages,Brokerages/QuantConnect.Brokerages.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Compression,Compression/QuantConnect.Compression.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Indicators,Indicators/QuantConnect.Indicators.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Lean.Engine,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Queues,QuantConnect.Brokerages,Brokerages/QuantConnect.Brokerages.csproj,False
Lean,QuantConnect.Queues,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Queues,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Queues,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.AlgorithmFactory,QuantConnect.Algorithm,Algorithm/QuantConnect.Algorithm.csproj,False
Lean,QuantConnect.AlgorithmFactory,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.AlgorithmFactory,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.AlgorithmFactory,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.ToolBox,QuantConnect.Lean.Engine,Engine/QuantConnect.Lean.Engine.csproj,False
Lean,QuantConnect,QuantConnect.Compression,Compression/QuantConnect.Compression.csproj,False
Lean,QuantConnect,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect,QuantConnect.Logging,Logging/QuantConnect.Logging.csproj,False
Lean,QuantConnect.Tests,QuantConnect.Algorithm.CSharp,Algorithm.CSharp/QuantConnect.Algorithm.CSharp.csproj,False
Lean,QuantConnect.Tests,QuantConnect.Algorithm.Framework,Algorithm.Framework/QuantConnect.Algorithm.Framework.csproj,False
Lean,QuantConnect.Tests,QuantConnect.AlgorithmFactory,AlgorithmFactory/QuantConnect.AlgorithmFactory.csproj,False
Lean,QuantConnect.Tests,QuantConnect.Algorithm,Algorithm/QuantConnect.Algorithm.csproj,False
Lean,QuantConnect.Tests,QuantConnect.Api,Api/QuantConnect.Api.csproj,False
Lean,QuantConnect.Tests,QuantConnect.Brokerages,Brokerages/QuantConnect.Brokerages.csproj,False
Lean,QuantConnect.Tests,QuantConnect,Common/QuantConnect.csproj,False
Lean,QuantConnect.Tests,QuantConnect.Compression,Compression/QuantConnect.Compression.csproj,False
Lean,QuantConnect.Tests,QuantConnect.Configuration,Configuration/QuantConnect.Configuration.csproj,False
Lean,QuantConnect.Tests,QuantConnect.DownloaderDataProvider.Launcher,DownloaderDataProvider/QuantConnect.DownloaderDataProvider.Launcher.csproj,False
