repo,project,package,version
NuGet.Client,WebApplication,Microsoft.ApplicationInsights.AspNetCore,2.0.0-beta1
NuGet.Client,WebApplication,Microsoft.AspNetCore,1.0.3
NuGet.Client,WebApplication,Microsoft.AspNetCore.Mvc,1.0.2
NuGet.Client,WebApplication,Microsoft.AspNetCore.StaticFiles,1.0.1
NuGet.Client,WebApplication,Microsoft.Extensions.Logging.Debug,1.0.1
NuGet.Client,WebApplication,Microsoft.VisualStudio.Web.BrowserLink,1.0.1
NuGet.Client,ClassLibrary47,Microsoft.NETCore.UniversalWindowsPlatform,
NuGet.Client,ConsoleApp10,NuGet.Versioning,1.0.7
NuGet.Client,NuGet.XPlat.FuncTest,Spectre.Console.Testing,
NuGet.Client,NuGet.MSSigning.Extensions.FuncTest,Microsoft.Build.Framework,
NuGet.Client,NuGet.Build.Tasks.Pack.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.Build.Tasks.Pack.Test,Microsoft.Build.Tasks.Core,
NuGet.Client,NuGet.Build.Tasks.Pack.Test,Microsoft.Build.Utilities.Core,
NuGet.Client,Microsoft.Build.NuGetSdkResolver.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.CommandLine.Xplat.Tests,Microsoft.Build,
NuGet.Client,NuGet.CommandLine.Xplat.Tests,Microsoft.Build.Framework,
NuGet.Client,NuGet.CommandLine.Xplat.Tests,Microsoft.Build.Locator,
NuGet.Client,NuGet.CommandLine.Xplat.Tests,Spectre.Console.Testing,
NuGet.Client,NuGet.CommandLine.Xplat.Tests,System.CommandLine,
NuGet.Client,NuGet.Build.Tasks.Console.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.Build.Tasks.Console.Test,Microsoft.Build.Tasks.Core,
NuGet.Client,NuGet.Build.Tasks.Console.Test,Microsoft.Build.Utilities.Core,
NuGet.Client,NuGet.LibraryModel.Tests,Newtonsoft.Json,
NuGet.Client,NuGet.Versioning.Test,Newtonsoft.Json,
NuGet.Client,NuGet.Build.Tasks.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.Build.Tasks.Test,Microsoft.Build.Tasks.Core,
NuGet.Client,NuGet.Build.Tasks.Test,Microsoft.Build.Utilities.Core,
NuGet.Client,GenerateTestPackages,NuGet.Core,
NuGet.Client,GenerateLicenseList,Newtonsoft.Json,
NuGet.Client,GenerateLicenseList,Microsoft.CodeAnalysis,
NuGet.Client,GenerateLicenseList,Microsoft.CodeAnalysis.CSharp,
NuGet.Client,API.Test,Microsoft.PowerShell.3.ReferenceAssemblies,
NuGet.Client,TestableCredentialProvider,Newtonsoft.Json,
NuGet.Client,TestableCredentialProvider,Microsoft.CSharp,
NuGet.Client,NuGet.SolutionRestoreManager.Test,Microsoft.VisualStudio.Sdk.TestFramework.Xunit,
NuGet.Client,NuGet.SolutionRestoreManager.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.Tools.Test,Microsoft.VisualStudio.Sdk.TestFramework.Xunit,
NuGet.Client,NuGet.PackageManagement.VisualStudio.Test,Microsoft.VisualStudio.Sdk.TestFramework.Xunit,
NuGet.Client,NuGet.CommandLine.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.CommandLine.Test,Microsoft.TestPlatform.Portable,
NuGet.Client,NuGet.VisualStudio.Common.Test,Microsoft.VisualStudio.Sdk.TestFramework.Xunit,
NuGet.Client,NuGet.VisualStudio.Common.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.VisualStudio.Implementation.Test,Microsoft.VisualStudio.Sdk.TestFramework.Xunit,
NuGet.Client,NuGet.VisualStudio.Implementation.Test,Microsoft.Build.Framework,
NuGet.Client,NuGet.PackageManagement.UI.Test,Microsoft.VisualStudio.Sdk.TestFramework.Xunit,
NuGet.Client,Microsoft.Internal.NuGet.Testing.SignedPackages,System.Formats.Asn1,
NuGet.Client,Microsoft.Internal.NuGet.Testing.SignedPackages,xunit,
NuGet.Client,Test.Utility,Moq,
NuGet.Client,Test.Utility,xunit,
NuGet.Client,Test.Utility,AwesomeAssertions,
NuGet.Client,Test.Utility,Microsoft.Build,
NuGet.Client,Test.Utility,Microsoft.Build.Tasks.Core,
NuGet.Client,Test.Utility,Microsoft.Build.Utilities.Core,
NuGet.Client,Test.Utility,System.Formats.Asn1,
NuGet.Client,Test.Utility,System.Security.Cryptography.Pkcs,
NuGet.Client,VisualStudio.Test.Utility,Microsoft.Build,
NuGet.Client,VisualStudio.Test.Utility,Microsoft.Build.Tasks.Core,
NuGet.Client,VisualStudio.Test.Utility,Microsoft.Build.Utilities.Core,
NuGet.Client,VisualStudio.Test.Utility,Microsoft.VisualStudio.ProjectSystem,
NuGet.Client,VisualStudio.Test.Utility,Microsoft.VisualStudio.Sdk,
NuGet.Client,NuGet.Tests.Apex.Daily,Microsoft.Test.Apex.VisualStudio,
NuGet.Client,NuGet.Tests.Apex.Daily,Microsoft.VisualStudio.Sdk,
NuGet.Client,NuGet.Tests.Apex.Daily,MSTest.TestAdapter,
NuGet.Client,NuGet.Tests.Apex.Daily,MSTest.TestFramework,
NuGet.Client,NuGet.Tests.Apex,Microsoft.Test.Apex.VisualStudio,
NuGet.Client,NuGet.Tests.Apex,Microsoft.VisualStudio.Sdk,
NuGet.Client,NuGet.Tests.Apex,MSTest.TestAdapter,
NuGet.Client,NuGet.Tests.Apex,MSTest.TestFramework,
NuGet.Client,PackageReferenceSdk,Newtonsoft.Json,*
NuGet.Client,NuGet.OptProf,Microsoft.Test.Apex.VisualStudio,
NuGet.Client,NuGet.OptProf,Microsoft.VisualStudio.Sdk,
NuGet.Client,NuGet.OptProf,MSTest.TestAdapter,
NuGet.Client,NuGet.OptProf,MSTest.TestFramework,
NuGet.Client,NuGet.OptProf,Newtonsoft.Json,
NuGet.Client,NuGet.OptProf,Xunit.StaFact,
NuGet.Client,NuGet.MSSigning.Extensions,ILRepack,
NuGet.Client,NuGet.VisualStudio.Client,Microsoft.VisualStudio.Extensibility.Sdk,
NuGet.Client,NuGet.VisualStudio.Client,Microsoft.VisualStudio.Extensibility.Build,
NuGet.Client,NuGet.VisualStudio.Client,Lucene.Net,
NuGet.Client,NuGet.VisualStudio.Client,SharpZipLib,
NuGet.Client,NuGet.VisualStudio.Client,Newtonsoft.Json,
NuGet.Client,NuGet.VisualStudio.Client,Microsoft.Web.Xdt,
NuGet.Client,NuGet.VisualStudio.Client,Microsoft.VSSDK.BuildTools,
NuGet.Client,NuGet.Indexing,Lucene.Net,
NuGet.Client,NuGet.Indexing,SharpZipLib,
NuGet.Client,NuGet.VisualStudio.Internal.Contracts,Microsoft.VisualStudio.Sdk,
NuGet.Client,NuGet.VisualStudio.Contracts,Microsoft.ServiceHub.Framework,
NuGet.Client,NuGet.VisualStudio.Contracts,Newtonsoft.Json,
NuGet.Client,NuGet.PackageManagement.VisualStudio,Microsoft.Build,
NuGet.Client,NuGet.PackageManagement.VisualStudio,Microsoft.Build.Utilities.Core,
NuGet.Client,NuGet.PackageManagement.VisualStudio,Microsoft.DataAI.NuGetRecommender.Contracts,
NuGet.Client,NuGet.PackageManagement.VisualStudio,Microsoft.TeamFoundationServer.ExtendedClient,
NuGet.Client,NuGet.PackageManagement.VisualStudio,Microsoft.VisualStudio.Sdk,
NuGet.Client,NuGet.PackageManagement.VisualStudio,VsWebSite.Interop,
NuGet.Client,NuGet.PackageManagement.VisualStudio,Microsoft.IdentityModel.JsonWebTokens,
NuGet.Client,NuGet.PackageManagement.VisualStudio,System.IdentityModel.Tokens.Jwt,
NuGet.Client,NuGet.CommandLine,NuGet.Core,
NuGet.Client,NuGet.CommandLine,Microsoft.VisualStudio.Setup.Configuration.Interop,
NuGet.Client,NuGet.CommandLine,ILRepack,
NuGet.Client,NuGet.CommandLine,System.Memory,
NuGet.Client,NuGet.SolutionRestoreManager,Microsoft.VisualStudio.Sdk,
NuGet.Client,NuGet.SolutionRestoreManager,Microsoft.VSSDK.BuildTools,
NuGet.Client,NuGet.PackageManagement.UI,Microsoft.VisualStudio.Copilot,
NuGet.Client,NuGet.PackageManagement.UI,Microsoft.VisualStudio.Markdown.Platform,
