repo,project,references,referencePath,crossRepo
NuGet.Client,Dotnet.Integration.Test,NuGet.XPlat.FuncTest,test/NuGet.Core.FuncTests/NuGet.XPlat.FuncTest/NuGet.XPlat.FuncTest.csproj,False
NuGet.Client,Dotnet.Integration.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,Dotnet.Integration.Test,NuGet.Build.Tasks.Pack,src/NuGet.Core/NuGet.Build.Tasks.Pack/NuGet.Build.Tasks.Pack.csproj,False
NuGet.Client,Dotnet.Integration.Test,NuGet.Build.Tasks.Console,src/NuGet.Core/NuGet.Build.Tasks.Console/NuGet.Build.Tasks.Console.csproj,False
NuGet.Client,Dotnet.Integration.Test,Microsoft.Build.NuGetSdkResolver,src/NuGet.Core/Microsoft.Build.NuGetSdkResolver/Microsoft.Build.NuGetSdkResolver.csproj,False
NuGet.Client,NuGet.Packaging.FuncTest,NuGet.Packaging,src/NuGet.Core/NuGet.Packaging/NuGet.Packaging.csproj,False
NuGet.Client,NuGet.Packaging.FuncTest,NuGet.Configuration.Test,test/NuGet.Core.Tests/NuGet.Configuration.Test/NuGet.Configuration.Test.csproj,False
NuGet.Client,NuGet.Packaging.FuncTest,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Protocol.FuncTest,TestablePlugin,test/TestExtensions/TestablePlugin/TestablePlugin.csproj,False
NuGet.Client,NuGet.Protocol.FuncTest,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,Msbuild.Integration.Test,Microsoft.Build.NuGetSdkResolver,src/NuGet.Core/Microsoft.Build.NuGetSdkResolver/Microsoft.Build.NuGetSdkResolver.csproj,False
NuGet.Client,Msbuild.Integration.Test,NuGet.Build.Tasks.Console,src/NuGet.Core/NuGet.Build.Tasks.Console/NuGet.Build.Tasks.Console.csproj,False
NuGet.Client,Msbuild.Integration.Test,NuGet.Build.Tasks.Pack,src/NuGet.Core/NuGet.Build.Tasks.Pack/NuGet.Build.Tasks.Pack.csproj,False
NuGet.Client,Msbuild.Integration.Test,NuGet.Build.Tasks,src/NuGet.Core/NuGet.Build.Tasks/NuGet.Build.Tasks.csproj,False
NuGet.Client,Msbuild.Integration.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.XPlat.FuncTest,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.XPlat.FuncTest,NuGet.CommandLine.XPlat,src/NuGet.Core/NuGet.CommandLine.XPlat/NuGet.CommandLine.XPlat.csproj,False
NuGet.Client,NuGet.XPlat.FuncTest,Microsoft.Build.NuGetSdkResolver,src/NuGet.Core/Microsoft.Build.NuGetSdkResolver/Microsoft.Build.NuGetSdkResolver.csproj,False
NuGet.Client,NuGet.XPlat.FuncTest,NuGet.CommandLine.Xplat.Tests,test/NuGet.Core.Tests/NuGet.CommandLine.Xplat.Tests/NuGet.CommandLine.Xplat.Tests.csproj,False
NuGet.Client,NuGet.XPlat.FuncTest,NuGet.Configuration.Test,test/NuGet.Core.Tests/NuGet.Configuration.Test/NuGet.Configuration.Test.csproj,False
NuGet.Client,NuGet.Signing.CrossFramework.Test,NuGet.Build.Tasks.Console,src/NuGet.Core/NuGet.Build.Tasks.Console/NuGet.Build.Tasks.Console.csproj,False
NuGet.Client,NuGet.Signing.CrossFramework.Test,NuGet.Build.Tasks.Pack,src/NuGet.Core/NuGet.Build.Tasks.Pack/NuGet.Build.Tasks.Pack.csproj,False
NuGet.Client,NuGet.Signing.CrossFramework.Test,NuGet.CommandLine.XPlat,src/NuGet.Core/NuGet.CommandLine.XPlat/NuGet.CommandLine.XPlat.csproj,False
NuGet.Client,NuGet.Signing.CrossFramework.Test,NuGet.Packaging,src/NuGet.Core/NuGet.Packaging/NuGet.Packaging.csproj,False
NuGet.Client,NuGet.Signing.CrossFramework.Test,NuGet.Packaging.FuncTest,test/NuGet.Core.FuncTests/NuGet.Packaging.FuncTest/NuGet.Packaging.FuncTest.csproj,False
NuGet.Client,NuGet.Signing.CrossFramework.Test,NuGet.Configuration.Test,test/NuGet.Core.Tests/NuGet.Configuration.Test/NuGet.Configuration.Test.csproj,False
NuGet.Client,NuGet.Signing.CrossFramework.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Commands.FuncTest,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.MSSigning.Extensions.FuncTest,NuGet.MSSigning.Extensions,src/NuGet.Clients/NuGet.MSSigning.Extensions/NuGet.MSSigning.Extensions.csproj,False
NuGet.Client,NuGet.MSSigning.Extensions.FuncTest,NuGet.CommandLine.Test,test/NuGet.Clients.Tests/NuGet.CommandLine.Test/NuGet.CommandLine.Test.csproj,False
NuGet.Client,NuGet.MSSigning.Extensions.FuncTest,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.CommandLine.FuncTest,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.CommandLine.FuncTest,NuGet.CommandLine.Test,test/NuGet.Clients.Tests/NuGet.CommandLine.Test/NuGet.CommandLine.Test.csproj,False
NuGet.Client,NuGet.CommandLine.FuncTest,NuGet.Configuration.Test,test/NuGet.Core.Tests/NuGet.Configuration.Test/NuGet.Configuration.Test.csproj,False
NuGet.Client,NuGet.Build.Tasks.Pack.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Build.Tasks.Pack.Test,NuGet.Build.Tasks.Pack,src/NuGet.Core/NuGet.Build.Tasks.Pack/NuGet.Build.Tasks.Pack.csproj,False
NuGet.Client,Microsoft.Build.NuGetSdkResolver.Test,Microsoft.Build.NuGetSdkResolver,src/NuGet.Core/Microsoft.Build.NuGetSdkResolver/Microsoft.Build.NuGetSdkResolver.csproj,False
