repo,project,package,version
src,OrchardCore.Cms.Web,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation,
src,OrchardCore.Templates.Cms.Web,OrchardCore.Logging.NLog,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Cms.Web,OrchardCore.Logging.Serilog,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Cms.Web,OrchardCore.Application.Cms.Targets,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Theme,OrchardCore.Theme.Targets,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Theme,OrchardCore.ContentManagement,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Theme,OrchardCore.DisplayManagement,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Theme,OrchardCore.ResourceManagement,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Mvc.Module,OrchardCore.Module.Targets,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Mvc.Web,OrchardCore.Application.Mvc.Targets,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Cms.Module,OrchardCore.Module.Targets,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Cms.Module,OrchardCore.ContentManagement,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Cms.Module,OrchardCore.ContentTypes.Abstractions,$(TemplateOrchardPackageVersion)
src,OrchardCore.Templates.Cms.Module,OrchardCore.DisplayManagement,$(TemplateOrchardPackageVersion)
src,OrchardCore.Queries,Parlot,
src,OrchardCore.AuditTrail,YesSql.Core,
src,OrchardCore.AuditTrail,YesSql.Filters.Query,
src,OrchardCore.Email.Azure,Azure.Communication.Email,
src,OrchardCore.Twitter,Microsoft.AspNetCore.Authentication.Twitter,
src,OrchardCore.Twitter,Microsoft.Extensions.Http.Resilience,
src,OrchardCore.Media.Azure,SixLabors.ImageSharp.Web.Providers.Azure,
src,OrchardCore.Microsoft.Authentication,Microsoft.AspNetCore.Authentication.MicrosoftAccount,
src,OrchardCore.Microsoft.Authentication,Microsoft.Identity.Web,
src,OrchardCore.Workflows,ncrontab,
src,OrchardCore.MiniProfiler,MiniProfiler.AspNetCore.Mvc,
src,OrchardCore.MiniProfiler,YesSql.Abstractions,
src,OrchardCore.Google,Microsoft.AspNetCore.Authentication.Google,
src,OrchardCore.Search.Elasticsearch,Elastic.Clients.Elasticsearch,
