repo,project,references,referencePath,crossRepo
src,OrchardCore.Cms.Web,OrchardCore.Application.Cms.Targets,OrchardCore/OrchardCore.Application.Cms.Targets/OrchardCore.Application.Cms.Targets.csproj,False
src,OrchardCore.Cms.Web,OrchardCore.Logging.NLog,OrchardCore/OrchardCore.Logging.NLog/OrchardCore.Logging.NLog.csproj,False
src,TheComingSoonTheme,OrchardCore.ResourceManagement.Abstractions,OrchardCore/OrchardCore.ResourceManagement.Abstractions/OrchardCore.ResourceManagement.Abstractions.csproj,False
src,TheComingSoonTheme,OrchardCore.Theme.Targets,OrchardCore/OrchardCore.Theme.Targets/OrchardCore.Theme.Targets.csproj,False
src,TheComingSoonTheme,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,TheTheme,OrchardCore.Flows,OrchardCore.Modules/OrchardCore.Flows/OrchardCore.Flows.csproj,False
src,TheTheme,OrchardCore.Notifications,OrchardCore.Modules/OrchardCore.Notifications/OrchardCore.Notifications.csproj,False
src,TheTheme,OrchardCore.Themes,OrchardCore.Modules/OrchardCore.Themes/OrchardCore.Themes.csproj,False
src,TheTheme,OrchardCore.Theme.Targets,OrchardCore/OrchardCore.Theme.Targets/OrchardCore.Theme.Targets.csproj,False
src,TheTheme,OrchardCore.Admin.Abstractions,OrchardCore/OrchardCore.Admin.Abstractions/OrchardCore.Admin.Abstractions.csproj,False
src,TheTheme,OrchardCore.ContentManagement,OrchardCore/OrchardCore.ContentManagement/OrchardCore.ContentManagement.csproj,False
src,TheTheme,OrchardCore.ResourceManagement,OrchardCore/OrchardCore.ResourceManagement/OrchardCore.ResourceManagement.csproj,False
src,TheTheme,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,TheTheme,OrchardCore.Users.Abstractions,OrchardCore/OrchardCore.Users.Abstractions/OrchardCore.Users.Abstractions.csproj,False
src,TheTheme,OrchardCore.Users,OrchardCore.Modules/OrchardCore.Users/OrchardCore.Users.csproj,False
src,TheTheme,OrchardCore.Menu,OrchardCore.Modules/OrchardCore.Menu/OrchardCore.Menu.csproj,False
src,TheBlogTheme,OrchardCore.Queries,OrchardCore.Modules/OrchardCore.Queries/OrchardCore.Queries.csproj,False
src,TheBlogTheme,OrchardCore.Theme.Targets,OrchardCore/OrchardCore.Theme.Targets/OrchardCore.Theme.Targets.csproj,False
src,TheBlogTheme,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,TheBlogTheme,OrchardCore.ResourceManagement.Abstractions,OrchardCore/OrchardCore.ResourceManagement.Abstractions/OrchardCore.ResourceManagement.Abstractions.csproj,False
src,TheAdmin,OrchardCore.Theme.Targets,OrchardCore/OrchardCore.Theme.Targets/OrchardCore.Theme.Targets.csproj,False
src,TheAdmin,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,TheAdmin,OrchardCore.ResourceManagement,OrchardCore/OrchardCore.ResourceManagement/OrchardCore.ResourceManagement.csproj,False
src,TheAdmin,OrchardCore.Admin,OrchardCore.Modules/OrchardCore.Admin/OrchardCore.Admin.csproj,False
src,TheAdmin,OrchardCore.Themes,OrchardCore.Modules/OrchardCore.Themes/OrchardCore.Themes.csproj,False
src,TheAdmin,OrchardCore.Users.Core,OrchardCore/OrchardCore.Users.Core/OrchardCore.Users.Core.csproj,False
src,TheAgencyTheme,OrchardCore.ResourceManagement.Abstractions,OrchardCore/OrchardCore.ResourceManagement.Abstractions/OrchardCore.ResourceManagement.Abstractions.csproj,False
src,TheAgencyTheme,OrchardCore.Theme.Targets,OrchardCore/OrchardCore.Theme.Targets/OrchardCore.Theme.Targets.csproj,False
src,TheAgencyTheme,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,SafeMode,OrchardCore.Theme.Targets,OrchardCore/OrchardCore.Theme.Targets/OrchardCore.Theme.Targets.csproj,False
src,SafeMode,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,OrchardCore.Resources,OrchardCore.DisplayManagement.Liquid,OrchardCore/OrchardCore.DisplayManagement.Liquid/OrchardCore.DisplayManagement.Liquid.csproj,False
src,OrchardCore.Resources,OrchardCore.Module.Targets,OrchardCore/OrchardCore.Module.Targets/OrchardCore.Module.Targets.csproj,False
src,OrchardCore.Resources,OrchardCore.ResourceManagement.Core,OrchardCore/OrchardCore.ResourceManagement.Core/OrchardCore.ResourceManagement.Core.csproj,False
src,OrchardCore.Queries,OrchardCore.Admin.Abstractions,OrchardCore/OrchardCore.Admin.Abstractions/OrchardCore.Admin.Abstractions.csproj,False
src,OrchardCore.Queries,OrchardCore.ContentManagement.Abstractions,OrchardCore/OrchardCore.ContentManagement.Abstractions/OrchardCore.ContentManagement.Abstractions.csproj,False
src,OrchardCore.Queries,OrchardCore.ContentManagement.Display,OrchardCore/OrchardCore.ContentManagement.Display/OrchardCore.ContentManagement.Display.csproj,False
src,OrchardCore.Queries,OrchardCore.ContentManagement.GraphQL,OrchardCore/OrchardCore.ContentManagement.GraphQL/OrchardCore.ContentManagement.GraphQL.csproj,False
src,OrchardCore.Queries,OrchardCore.Data.Abstractions,OrchardCore/OrchardCore.Data.Abstractions/OrchardCore.Data.Abstractions.csproj,False
src,OrchardCore.Queries,OrchardCore.Deployment.Abstractions,OrchardCore/OrchardCore.Deployment.Abstractions/OrchardCore.Deployment.Abstractions.csproj,False
src,OrchardCore.Queries,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,OrchardCore.Queries,OrchardCore.Localization.Abstractions,OrchardCore/OrchardCore.Localization.Abstractions/OrchardCore.Localization.Abstractions.csproj,False
src,OrchardCore.Queries,OrchardCore.Liquid.Abstractions,OrchardCore/OrchardCore.Liquid.Abstractions/OrchardCore.Liquid.Abstractions.csproj,False
src,OrchardCore.Queries,OrchardCore.Module.Targets,OrchardCore/OrchardCore.Module.Targets/OrchardCore.Module.Targets.csproj,False
src,OrchardCore.Queries,OrchardCore.Navigation.Core,OrchardCore/OrchardCore.Navigation.Core/OrchardCore.Navigation.Core.csproj,False
src,OrchardCore.Queries,OrchardCore.Queries.Core,OrchardCore/OrchardCore.Queries.Core/OrchardCore.Queries.Core.csproj,False
src,OrchardCore.Queries,OrchardCore.ResourceManagement,OrchardCore/OrchardCore.ResourceManagement/OrchardCore.ResourceManagement.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.Admin.Abstractions,OrchardCore/OrchardCore.Admin.Abstractions/OrchardCore.Admin.Abstractions.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.AdminMenu.Abstractions,OrchardCore/OrchardCore.AdminMenu.Abstractions/OrchardCore.AdminMenu.Abstractions.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.ContentManagement,OrchardCore/OrchardCore.ContentManagement/OrchardCore.ContentManagement.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.ContentTypes.Abstractions,OrchardCore/OrchardCore.ContentTypes.Abstractions/OrchardCore.ContentTypes.Abstractions.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.ContentManagement.Display,OrchardCore/OrchardCore.ContentManagement.Display/OrchardCore.ContentManagement.Display.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.Deployment.Abstractions,OrchardCore/OrchardCore.Deployment.Abstractions/OrchardCore.Deployment.Abstractions.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.Module.Targets,OrchardCore/OrchardCore.Module.Targets/OrchardCore.Module.Targets.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.Navigation.Core,OrchardCore/OrchardCore.Navigation.Core/OrchardCore.Navigation.Core.csproj,False
src,OrchardCore.AdminMenu,OrchardCore.ResourceManagement,OrchardCore/OrchardCore.ResourceManagement/OrchardCore.ResourceManagement.csproj,False
src,OrchardCore.Deployment,OrchardCore.Admin.Abstractions,OrchardCore/OrchardCore.Admin.Abstractions/OrchardCore.Admin.Abstractions.csproj,False
src,OrchardCore.Deployment,OrchardCore.Data.Abstractions,OrchardCore/OrchardCore.Data.Abstractions/OrchardCore.Data.Abstractions.csproj,False
src,OrchardCore.Deployment,OrchardCore.Data.YesSql,OrchardCore/OrchardCore.Data.YesSql/OrchardCore.Data.YesSql.csproj,False
src,OrchardCore.Deployment,OrchardCore.Deployment.Core,OrchardCore/OrchardCore.Deployment.Core/OrchardCore.Deployment.Core.csproj,False
src,OrchardCore.Deployment,OrchardCore.DisplayManagement,OrchardCore/OrchardCore.DisplayManagement/OrchardCore.DisplayManagement.csproj,False
src,OrchardCore.Deployment,OrchardCore.Localization.Abstractions,OrchardCore/OrchardCore.Localization.Abstractions/OrchardCore.Localization.Abstractions.csproj,False
src,OrchardCore.Deployment,OrchardCore.Module.Targets,OrchardCore/OrchardCore.Module.Targets/OrchardCore.Module.Targets.csproj,False
src,OrchardCore.Deployment,OrchardCore.Navigation.Core,OrchardCore/OrchardCore.Navigation.Core/OrchardCore.Navigation.Core.csproj,False
src,OrchardCore.Deployment,OrchardCore.ResourceManagement,OrchardCore/OrchardCore.ResourceManagement/OrchardCore.ResourceManagement.csproj,False
