repo,project,package,version
StockSharp,Configuration,Ecng.Configuration,1.0.*
StockSharp,Configuration,NuGet.Configuration,7.0.1
StockSharp,Localization.Extractor,Ecng.Serialization,1.0.*
StockSharp,Localization.Extractor,Spectre.Console.Cli,0.48.0
StockSharp,Localization,Ecng.ComponentModel,1.0.*
StockSharp,Reporting,Ecng.Excel,1.0.*
StockSharp,Tests,Moq,4.*
StockSharp,Tests,Ecng.UnitTesting,1.0.*
StockSharp,Tests,Microsoft.NET.Test.Sdk,17.13.0
StockSharp,Tests,MSTest.TestAdapter,3.11.1
StockSharp,Tests,MSTest.TestFramework,3.11.1
StockSharp,Tests,StockSharp.Samples.HistoryData,5.*
StockSharp,Tests,Ecng.Excel.OpenXml,1.0.*
StockSharp,Tests,Ecng.Data.Ado,1.0.*
StockSharp,Tests,Microsoft.Data.SqlClient,6.*
StockSharp,BusinessEntities,Ecng.Configuration,1.0.*
StockSharp,BusinessEntities,Ecng.Drawing,1.0.*
StockSharp,Messages,Ecng.Logging,1.0.*
StockSharp,Messages,Ecng.Linq,1.0.*
StockSharp,Algo.Export,Ecng.Data,1.0.*
StockSharp,Localization.Generator,Microsoft.CodeAnalysis.CSharp,4.12.0
StockSharp,Localization.Generator,Microsoft.CodeAnalysis.Analyzers,3.3.4
StockSharp,Localization.Generator,System.Text.Json,8.*
StockSharp,Localization.Generator,System.Text.Encodings.Web,8.*
StockSharp,Localization.Generator,Microsoft.Bcl.AsyncInterfaces,8.*
StockSharp,Algo.Compilation,Ecng.Compilation.All,1.0.*
StockSharp,Algo.Compilation,Ecng.Configuration,1.0.*
StockSharp,Algo.Compilation,IronPython.StdLib,3.4.2
StockSharp,Algo.Compilation,NumpyDotNet,0.9.*
StockSharp,Algo.Compilation,MathNet.Numerics.FSharp,6.0.0-beta2
StockSharp,Algo.Compilation,FSharp.Control.TaskSeq,0.*
StockSharp,Algo.Compilation,FSharpPlus,1.*
StockSharp,Media.Generator,Microsoft.CodeAnalysis.CSharp,4.12.0
StockSharp,Media.Generator,Microsoft.CodeAnalysis.Analyzers,3.3.4
StockSharp,Algo.Gpu,ILGPU.Algorithms,1.*
StockSharp,01_Candles.Realtime,StockSharp.Binance,5.*
StockSharp,01_Candles.Realtime,StockSharp.Okex,5.*
StockSharp,01_Candles.Realtime,StockSharp.GateIO,5.*
StockSharp,01_Candles.Realtime,StockSharp.Bitmex,5.*
StockSharp,01_Candles.Realtime,StockSharp.Fix,5.*
StockSharp,01_Candles.Realtime,StockSharp.Xaml.Charting,5.*
StockSharp,02_Candles.CombineHistoryRealtime,StockSharp.Binance,5.*
StockSharp,02_Candles.CombineHistoryRealtime,StockSharp.Okex,5.*
StockSharp,02_Candles.CombineHistoryRealtime,StockSharp.GateIO,5.*
StockSharp,02_Candles.CombineHistoryRealtime,StockSharp.Bitmex,5.*
StockSharp,02_Candles.CombineHistoryRealtime,StockSharp.Fix,5.*
StockSharp,02_Candles.CombineHistoryRealtime,StockSharp.Xaml.Charting,5.*
StockSharp,02_Candles.CombineHistoryRealtime,StockSharp.Samples.HistoryData,5.*
StockSharp,02_Candles.CombineHistoryRealtime_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,04_Testing.HistoryConsole,Ecng.Excel.OpenXml,1.0.*
StockSharp,04_Testing.HistoryConsole,StockSharp.Samples.HistoryData,5.*
StockSharp,04_Testing.HistoryConsole_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,04_Testing.HistoryConsole_fromsrc,Ecng.Excel.OpenXml,1.0.*
StockSharp,02_Testing.Optimization,Ecng.Compilation.Roslyn,1.0.*
StockSharp,02_Testing.Optimization,StockSharp.Xaml.Charting,5.*
StockSharp,02_Testing.Optimization,StockSharp.Samples.HistoryData,5.*
StockSharp,02_Testing.Optimization_fromsrc,Ecng.Compilation.Roslyn,1.0.*
StockSharp,02_Testing.Optimization_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,01_Testing.History,StockSharp.Xaml.Charting,5.*
StockSharp,01_Testing.History,StockSharp.Samples.HistoryData,5.*
StockSharp,01_Testing.History_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,03_Testing.RealTime,StockSharp.Binance,5.*
StockSharp,03_Testing.RealTime,StockSharp.Okex,5.*
StockSharp,03_Testing.RealTime,StockSharp.GateIO,5.*
StockSharp,03_Testing.RealTime,StockSharp.Bitmex,5.*
StockSharp,03_Testing.RealTime,StockSharp.Fix,5.*
StockSharp,03_Testing.RealTime,StockSharp.Xaml.Charting,5.*
StockSharp,06_Strategies.HistoryQuoting_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,06_Strategies.HistoryQuoting,StockSharp.Xaml.Charting,5.*
StockSharp,06_Strategies.HistoryQuoting,StockSharp.Samples.HistoryData,5.*
StockSharp,04_Strategies.HistoryMarketRule,StockSharp.Xaml,5.*
StockSharp,04_Strategies.HistoryMarketRule,StockSharp.Samples.HistoryData,5.*
StockSharp,04_Strategies.HistoryMarketRule_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,08_Strategies.LiveArbitrage,StockSharp.Binance,5.*
StockSharp,08_Strategies.LiveArbitrage,StockSharp.Okex,5.*
StockSharp,08_Strategies.LiveArbitrage,StockSharp.GateIO,5.*
StockSharp,08_Strategies.LiveArbitrage,StockSharp.Bitmex,5.*
StockSharp,08_Strategies.LiveArbitrage,StockSharp.Fix,5.*
StockSharp,08_Strategies.LiveArbitrage,StockSharp.Xaml,5.*
StockSharp,03_Strategies.HistoryTrend_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,03_Strategies.HistoryTrend,StockSharp.Xaml.Charting,5.*
StockSharp,03_Strategies.HistoryTrend,StockSharp.Samples.HistoryData,5.*
StockSharp,05_Strategies.HistoryIndex_fromsrc,Ecng.Compilation.Roslyn,1.0.*
StockSharp,05_Strategies.HistoryIndex_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,05_Strategies.HistoryIndex,Ecng.Compilation.Roslyn,1.0.*
StockSharp,05_Strategies.HistoryIndex,StockSharp.Xaml.Charting,5.*
StockSharp,05_Strategies.HistoryIndex,StockSharp.Samples.HistoryData,5.*
StockSharp,10_Strategies.LiveTerminal,StockSharp.Binance,5.*
StockSharp,10_Strategies.LiveTerminal,StockSharp.Okex,5.*
StockSharp,10_Strategies.LiveTerminal,StockSharp.GateIO,5.*
StockSharp,10_Strategies.LiveTerminal,StockSharp.Bitmex,5.*
StockSharp,10_Strategies.LiveTerminal,StockSharp.Fix,5.*
StockSharp,10_Strategies.LiveTerminal,StockSharp.Xaml,5.*
StockSharp,07_Strategies.LiveSpread,StockSharp.Binance,5.*
StockSharp,07_Strategies.LiveSpread,StockSharp.Okex,5.*
StockSharp,07_Strategies.LiveSpread,StockSharp.GateIO,5.*
StockSharp,07_Strategies.LiveSpread,StockSharp.Bitmex,5.*
StockSharp,07_Strategies.LiveSpread,StockSharp.Fix,5.*
StockSharp,07_Strategies.LiveSpread,StockSharp.Xaml,5.*
StockSharp,02_Strategies.HistoryBollingerBands,StockSharp.Xaml.Charting,5.*
StockSharp,01_Strategies.HistorySMA_fromsrc,StockSharp.Samples.HistoryData,5.*
StockSharp,01_Strategies.HistorySMA,StockSharp.Xaml.Charting,5.*
StockSharp,01_Strategies.HistorySMA,StockSharp.Samples.HistoryData,5.*
StockSharp,09_Strategies.LiveOptionsQuoting,StockSharp.Binance,5.*
StockSharp,09_Strategies.LiveOptionsQuoting,StockSharp.Okex,5.*
StockSharp,09_Strategies.LiveOptionsQuoting,StockSharp.GateIO,5.*
StockSharp,09_Strategies.LiveOptionsQuoting,StockSharp.Bitmex,5.*
StockSharp,09_Strategies.LiveOptionsQuoting,StockSharp.Fix,5.*
StockSharp,09_Strategies.LiveOptionsQuoting,StockSharp.Xaml.Charting,5.*
StockSharp,05_Storage.HydraServerSaveToLocal,StockSharp.Fix,5.*
StockSharp,04_Storage.HydraServerConnect,StockSharp.Xaml.Charting,5.*
StockSharp,04_Storage.HydraServerConnect,StockSharp.Fix,5.*
StockSharp,02_Storage.Local,Ecng.Compilation.Roslyn,1.0.*
StockSharp,02_Storage.Local,StockSharp.Samples.HistoryData,5.*
