repo,project,references,referencePath,crossRepo
StockSharp,Algo.Testing,Algo,Algo/Algo.csproj,False
StockSharp,Media.Names,Media.Generator,Media.Generator/Media.Generator.csproj,False
StockSharp,Configuration,Messages,Messages/Messages.csproj,False
StockSharp,Charting.Interfaces,BusinessEntities,BusinessEntities/BusinessEntities.csproj,False
StockSharp,Algo.Indicators,Algo,Algo/Algo.csproj,False
StockSharp,Localization,Localization.Generator,Localization.Generator/Localization.Generator.csproj,False
StockSharp,Diagram.Core,Alerts.Interfaces,Alerts.Interfaces/Alerts.Interfaces.csproj,False
StockSharp,Diagram.Core,Algo.Strategies,Algo.Strategies/Algo.Strategies.csproj,False
StockSharp,Diagram.Core,Algo.Indicators,Algo.Indicators/Algo.Indicators.csproj,False
StockSharp,Reporting,Messages,Messages/Messages.csproj,False
StockSharp,Algo.Import,Algo,Algo/Algo.csproj,False
StockSharp,Algo.Analytics.CSharp,Algo.Analytics,Algo.Analytics/Algo.Analytics.csproj,False
StockSharp,Tests,Algo.Analytics,Algo.Analytics/Algo.Analytics.csproj,False
StockSharp,Tests,Algo.Compilation,Algo.Compilation/Algo.Compilation.csproj,False
StockSharp,Tests,Algo.Export,Algo.Export/Algo.Export.csproj,False
StockSharp,Tests,Algo.Import,Algo.Import/Algo.Import.csproj,False
StockSharp,Tests,Algo.Gpu,Algo.Gpu/Algo.Gpu.csproj,False
StockSharp,Tests,Algo.Indicators,Algo.Indicators/Algo.Indicators.csproj,False
StockSharp,Tests,Algo.Strategies,Algo.Strategies/Algo.Strategies.csproj,False
StockSharp,Tests,Algo.Testing,Algo.Testing/Algo.Testing.csproj,False
StockSharp,Tests,Diagram.Core,Diagram.Core/Diagram.Core.csproj,False
StockSharp,Tests,Alerts.Interfaces,Alerts.Interfaces/Alerts.Interfaces.csproj,False
StockSharp,BusinessEntities,Messages,Messages/Messages.csproj,False
StockSharp,Messages,Localization,Localization/Localization.csproj,False
StockSharp,Algo.Strategies,Alerts.Interfaces,Alerts.Interfaces/Alerts.Interfaces.csproj,False
StockSharp,Algo.Strategies,Algo.Testing,Algo.Testing/Algo.Testing.csproj,False
StockSharp,Algo.Export,Algo.Indicators,Algo.Indicators/Algo.Indicators.csproj,False
StockSharp,Alerts.Interfaces,BusinessEntities,BusinessEntities/BusinessEntities.csproj,False
StockSharp,Algo.Analytics,Algo.Indicators,Algo.Indicators/Algo.Indicators.csproj,False
StockSharp,Algo.Compilation,Configuration,Configuration/Configuration.csproj,False
StockSharp,Algo.Gpu,Algo.Indicators,Algo.Indicators/Algo.Indicators.csproj,False
StockSharp,Localization.all,Localization.ar,Localization.Langs/ar/Localization.ar.csproj,False
StockSharp,Localization.all,Localization.bn,Localization.Langs/bn/Localization.bn.csproj,False
StockSharp,Localization.all,Localization.ca,Localization.Langs/ca/Localization.ca.csproj,False
StockSharp,Localization.all,Localization.cs,Localization.Langs/cs/Localization.cs.csproj,False
StockSharp,Localization.all,Localization.da,Localization.Langs/da/Localization.da.csproj,False
StockSharp,Localization.all,Localization.de,Localization.Langs/de/Localization.de.csproj,False
StockSharp,Localization.all,Localization.el,Localization.Langs/el/Localization.el.csproj,False
StockSharp,Localization.all,Localization.es,Localization.Langs/es/Localization.es.csproj,False
StockSharp,Localization.all,Localization.fa,Localization.Langs/fa/Localization.fa.csproj,False
StockSharp,Localization.all,Localization.fi,Localization.Langs/fi/Localization.fi.csproj,False
StockSharp,Localization.all,Localization.fr,Localization.Langs/fr/Localization.fr.csproj,False
StockSharp,Localization.all,Localization.he,Localization.Langs/he/Localization.he.csproj,False
StockSharp,Localization.all,Localization.hi,Localization.Langs/hi/Localization.hi.csproj,False
StockSharp,Localization.all,Localization.hu,Localization.Langs/hu/Localization.hu.csproj,False
StockSharp,Localization.all,Localization.it,Localization.Langs/it/Localization.it.csproj,False
StockSharp,Localization.all,Localization.ja,Localization.Langs/ja/Localization.ja.csproj,False
StockSharp,Localization.all,Localization.jv,Localization.Langs/jv/Localization.jv.csproj,False
